Nom de la commune,Population municipale 2019 (Pop légale 2016),Population municipale 2018 (Pop légale 2015),Population municipale 2016 (Pop légale 2013),Progression sur 1 an,Progression sur 3 ans,Progression en valeur absolue sur 3 ans
Paris 15e Arrondissement,233484,234994,237120,-0.64,-1.53,-3636
Paris 20e Arrondissement,195604,195556,194771,0.02,0.43,833
Paris 18e Arrondissement,195060,197580,199519,-1.28,-2.23,-4459
Paris 19e Arrondissement,186393,185654,185953,0.4,0.24,440
Paris 13e Arrondissement,181552,183216,183713,-0.91,-1.18,-2161
Paris 17e Arrondissement,167835,168533,170077,-0.41,-1.32,-2242
Paris 16e Arrondissement,165446,165487,166552,-0.02,-0.66,-1106
Paris 11e Arrondissement,147017,149834,153461,-1.88,-4.2,-6444
Paris 12e Arrondissement,141494,142340,144719,-0.59,-2.23,-3225
Paris 14e Arrondissement,137105,139992,140799,-2.06,-2.62,-3694
Paris 10e Arrondissement,91932,91770,92494,0.18,-0.61,-562
Paris 9e Arrondissement,59629,59408,59427,0.37,0.34,202
Paris 5e Arrondissement,59108,59333,60273,-0.38,-1.93,-1165
Paris 7e Arrondissement,52512,54133,56325,-2.99,-6.77,-3813
Paris 6e Arrondissement,40916,42428,43479,-3.56,-5.89,-2563
Paris 8e Arrondissement,36453,36694,39175,-0.66,-6.95,-2722
Paris 3e Arrondissement,34788,35049,35666,-0.74,-2.46,-878
Paris 4e Arrondissement,27487,27146,27335,1.26,0.56,152
Paris 2e Arrondissement,20260,20796,21741,-2.58,-6.81,-1481
Paris 1er Arrondissement,16252,16545,17022,-1.77,-4.52,-770
Total,2190327,2 206 488,2229621,-0.73,-1.76,-39294